relation,count
http://dbpedia.org/ontology/wikiPageWikiLink,4
http://dbpedia.org/property/origin,3
http://dbpedia.org/property/candidate,3
http://dbpedia.org/property/alias,2
http://schema.org/sameAs,2
http://dbpedia.org/property/thesisTitle,2
http://dbpedia.org/ontology/nationality,1
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1
http://purl.org/dc/terms/subject,1
http://dbpedia.org/property/relatives,1
http://dbpedia.org/property/preceded,1
http://dbpedia.org/property/prizes,1
http://dbpedia.org/property/profession,1
http://dbpedia.org/property/wickets,1
http://dbpedia.org/ontology/weight,1
