epoch,loss,train_acc,test_acc
1,1.3721868991851807,0.7763845324516296,0.7343096137046814
2,0.8691216707229614,0.8908045887947083,0.8786610960960388
3,0.4944283068180084,0.9049111604690552,0.8891213536262512
4,0.3241835832595825,0.9132706522941589,0.8891213536262512
5,0.24843382835388184,0.9190177917480469,0.9037656784057617
6,0.20579937100410461,0.9268547296524048,0.9079498052597046
7,0.17792604863643646,0.9315569400787354,0.910041868686676
8,0.1586153507232666,0.9336467981338501,0.9142259359359741
9,0.1434137523174286,0.9472309350967407,0.9225941300392151
10,0.13002605736255646,0.9566352963447571,0.930962324142456
11,0.11874061822891235,0.9613375067710876,0.939330518245697
12,0.1104799434542656,0.9592476487159729,0.9351464509963989
13,0.10453248023986816,0.9644722938537598,0.9372385144233704
14,0.09888352453708649,0.968129575252533,0.9414225816726685
15,0.09254523366689682,0.9712643623352051,0.9435146450996399
16,0.08638890087604523,0.9733542203903198,0.9435146450996399
17,0.08143875002861023,0.9728317856788635,0.9435146450996399
18,0.07775355875492096,0.9738767147064209,0.9414225816726685
19,0.0744745284318924,0.9738767147064209,0.9372385144233704
20,0.07084055244922638,0.9759665727615356,0.9351464509963989
21,0.06672932952642441,0.9806687831878662,0.9372385144233704
22,0.06259486079216003,0.9817137122154236,0.9456067085266113
23,0.05906926468014717,0.9806687831878662,0.9435146450996399
24,0.05630999058485031,0.9822361469268799,0.9414225816726685
25,0.05395456776022911,0.982758641242981,0.9414225816726685
26,0.05160299316048622,0.982758641242981,0.9414225816726685
27,0.04923217371106148,0.9832810759544373,0.9372385144233704
28,0.04710185155272484,0.9864158630371094,0.939330518245697
29,0.04538007825613022,0.9879832863807678,0.9435146450996399
30,0.0438871793448925,0.9890282154083252,0.9456067085266113
31,0.0423564687371254,0.9911180734634399,0.9456067085266113
32,0.040689222514629364,0.9911180734634399,0.9476987719535828
33,0.038988418877124786,0.9905956387519836,0.9476987719535828
34,0.03743567317724228,0.9911180734634399,0.9456067085266113
35,0.03611520305275917,0.9905956387519836,0.9476987719535828
36,0.03495239466428757,0.9911180734634399,0.9456067085266113
37,0.033842816948890686,0.9921630024909973,0.9456067085266113
38,0.03277413547039032,0.9921630024909973,0.9435146450996399
39,0.03178008645772934,0.991640567779541,0.9435146450996399
40,0.030837707221508026,0.9911180734634399,0.9435146450996399
41,0.029935292899608612,0.9911180734634399,0.9476987719535828
42,0.02908584661781788,0.9911180734634399,0.9476987719535828
43,0.028294626623392105,0.991640567779541,0.9476987719535828
44,0.027568889781832695,0.991640567779541,0.9518828392028809
45,0.02690936252474785,0.9921630024909973,0.9539749026298523
46,0.026303909718990326,0.9926854968070984,0.9539749026298523
47,0.025745825842022896,0.9926854968070984,0.9539749026298523
48,0.025223862379789352,0.9932079315185547,0.9539749026298523
49,0.024738851934671402,0.9937304258346558,0.9560669660568237
50,0.02429191954433918,0.9942528605461121,0.9581589698791504
